Coin Name,Symbol,Price (USD),1h Change (%),24h Change (%),7d Change (%),Avg Downfall (%),Price Range
Bitcoin,BTC,104058.04,0.24,0.73,0.18,0.3833,5. $50+
Ethereum,ETH,2483.59,0.76,2.53,5.27,2.8533,5. $50+
Tether,USDT,0.9999,0.04,0.21,0.42,0.2233,3. $0.50 - $5
XRP,XRP,2.12,0.55,2.05,3.1,1.9,3. $0.50 - $5
BNB,BNB,644.79,0.1,0.3,0.3,0.2333,5. $50+
Solana,SOL,142.67,0.99,1.38,7.32,3.23,5. $50+
USDC,USDC,0.9998,0.03,0.35,0.44,0.2733,3. $0.50 - $5
TRON,TRX,0.2734,0.36,1.48,0.83,0.89,2. $0.05 - $0.50
Dogecoin,DOGE,0.1654,0.94,2.33,7.08,3.45,2. $0.05 - $0.50
Cardano,ADA,0.5808,0.96,2.8,3.7,2.4867,3. $0.50 - $5
Pudgy Penguins,PENGU,0.009096,1.4,2.22,5.51,3.0433,1. $0 - $0.05
Walrus,WAL,0.4205,1.57,6.35,12.77,6.8967,2. $0.05 - $0.50
Raydium,RAY,2.06,1.17,4.34,9.33,4.9467,3. $0.50 - $5
Core,CORE,0.5443,0.82,1.39,3.97,2.06,3. $0.50 - $5
Tezos,XTZ,0.5207,0.66,1.5,4.81,2.3233,3. $0.50 - $5
Pyth Network,PYTH,0.09453,2.27,4.18,12.74,6.3967,2. $0.05 - $0.50
Flow,FLOW,0.3394,1.0,2.09,3.59,2.2267,2. $0.05 - $0.50
Maple Finance,SYRUP,0.4626,3.05,8.82,13.72,8.53,2. $0.05 - $0.50
Decentraland,MANA,0.2505,1.37,3.68,9.33,4.7933,2. $0.05 - $0.50
TrueUSD,TUSD,0.9976,0.01,0.37,0.56,0.3133,3. $0.50 - $5
Fasttoken,FTN,4.45,0.01,0.19,0.56,0.2533,3. $0.50 - $5
Jupiter Perps LP,JLP,4.32,0.45,0.9,2.55,1.3,3. $0.50 - $5
Zeebu,ZBU,3.26,0.06,0.27,0.05,0.1267,3. $0.50 - $5
Fellaz,FLZ,1.43,0.52,1.12,2.81,1.4833,3. $0.50 - $5
Usual USD,USD0,0.9977,0.01,0.21,0.27,0.1633,3. $0.50 - $5
Ondo US Dollar Yield,USDY,1.09,0.03,0.15,0.09,0.09,3. $0.50 - $5
Falcon USD,USDf,0.9997,0.0,0.47,0.07,0.18,3. $0.50 - $5
Loaded Lions,LION,0.01647,0.52,1.34,4.36,2.0733,1. $0 - $0.05
would,WOULD,0.4946,3.03,9.42,13.48,8.6433,2. $0.05 - $0.50
WhiteRock,WHITE,0.0007355,0.66,1.2,1.87,1.2433,1. $0 - $0.05
Ontology,ONT,0.1205,1.14,3.74,4.66,3.18,2. $0.05 - $0.50
Request,REQ,0.1336,0.32,0.62,2.97,1.3033,2. $0.05 - $0.50
Paycoin,PCI,0.1043,0.63,1.12,3.86,1.87,2. $0.05 - $0.50
COTI,COTI,0.05028,0.95,3.67,3.39,2.67,2. $0.05 - $0.50
